Date,Wrestler
1963-04-11,Buddy Rogers1963-05-17,Bruno Sammartino
1971-01-18,Ivan Koloff
1971-02-08,Pedro Morales
1973-12-01,Stan Stasiak
1973-12-10,Bruno Sammartino
1977-04-30,Superstar Billy Graham
1978-02-20,Bob Backlund
1979-11-30,Antonio Inoki
1979-12-06,Bob Backlund
1979-12-17,The Iron Sheik
1983-12-26,Hulk Hogan
1984-01-23,André the Giant
1988-02-05,Ted DiBiase
1988-02-05,Randy Savage
1988-02-13,Hulk Hogan
1988-03-27,The Ultimate Warrior
1989-04-02,Sgt. Slaughter
1990-04-01,Hulk Hogan
1991-01-19,The Undertaker
1991-03-24,Hulk Hogan
1991-11-27,Ric Flair
1991-12-03,Randy Savage
1991-12-04,Ric Flair
1992-01-19,Bret Hart
1992-04-05,Yokozuna
1992-09-01,Hulk Hogan
1992-10-12,Yokozuna
1993-04-04,Bret Hart
1993-04-04,Bob Backlund
1993-06-13,Diesel
1994-03-20,Bret Hart
1994-11-23,Shawn Michaels
1994-11-26,Sycho Sid
1995-11-19,Shawn Michaels
1996-03-31,Bret Hart
1996-11-17,Sycho Sid
1997-01-19,The Undertaker
1997-02-13,Bret Hart
1997-02-16,Shawn Michaels
1997-02-17,Stone Cold Steve Austin
1997-03-23,Kane
1997-08-03,Stone Cold Steve Austin
1997-11-09,The Rock
1998-03-29,Mankind
1998-06-28,The Rock
1998-06-29,Mankind
1998-09-27,The Rock
1998-11-15,Stone Cold Steve Austin
1998-12-29,The Undertaker
1999-01-24,Stone Cold Steve Austin
1999-01-26,Mankind
1999-02-15,Triple H
1999-03-28,Vince McMahon
1999-05-23,Triple H
1999-06-28,Big Show
1999-08-22,Triple H
1999-08-23,The Rock
1999-09-14,Triple H
1999-09-20,The Rock
1999-09-26,Kurt Angle
1999-11-14,The Rock
2000-01-03,Stone Cold Steve Austin
2000-04-30,Kurt Angle
2000-05-21,Stone Cold Steve Austin
2000-06-25,Chris Jericho
2000-10-22,Triple H
2001-02-25,Hollywood Hulk Hogan
2001-04-01,The Undertaker
2001-09-23,The Rock
2001-10-08,Brock Lesnar
2001-12-09,Big Show
2002-03-17,Kurt Angle
2002-04-21,Brock Lesnar
2002-05-19,Kurt Angle
2002-07-21,Brock Lesnar
2002-08-25,Eddie Guerrero
2002-11-17,John "Bradshaw" Layfield
2002-12-15,John Cena
2003-03-30,Edge
2003-07-27,John Cena
2003-09-16,Rob Van Dam
2004-02-15,Edge
2004-06-27,John Cena
2005-04-03,Randy Orton
2006-01-08,Triple H
2006-01-29,Randy Orton
2006-06-11,Triple H
2006-07-03,Edge
2006-09-17,Jeff Hardy
2007-10-02,Edge
2007-10-07,Triple H
2007-10-07,Randy Orton
2007-10-07,Batista
2008-04-27,Randy Orton
2008-11-23,John Cena
2008-12-14,Randy Orton
2009-01-25,John Cena
2009-02-15,Sheamus
2009-04-26,John Cena
2009-06-07,Batista
2009-06-09,John Cena
2009-06-15,Sheamus
2009-09-13,Randy Orton
2009-10-04,The Miz
2009-10-25,John Cena
2009-12-13,CM Punk
2010-02-21,Rey Mysterio
2010-02-21,John Cena
2010-03-28,CM Punk
2010-06-20,Alberto Del Rio
2010-09-19,John Cena
2010-11-22,Alberto Del Rio
2011-05-01,CM Punk
2011-07-17,The Rock
2011-07-18,John Cena
2011-07-25,Daniel Bryan
2011-07-25,Randy Orton
2011-08-14,Daniel Bryan
2011-08-14,Randy Orton
2011-09-18,Daniel Bryan
2011-10-02,John Cena
2011-11-20,Brock Lesnar
2013-01-27,Seth Rollins
2013-04-07,Roman Reigns
2013-08-18,Sheamus
2013-08-18,Roman Reigns
2013-09-15,Triple H
2013-09-16,Roman Reigns
2013-10-27,Seth Rollins
2014-04-06,Dean Ambrose
2014-06-09,AJ Styles
2014-06-29,John Cena
2014-08-17,Bray Wyatt
2015-03-29,Randy Orton
2015-11-05,Jinder Mahal
2015-11-22,AJ Styles
2015-11-22,Daniel Bryan
2015-12-14,Kofi Kingston
2016-01-24,Brock Lesnar
2016-04-03,Drew McIntyre
2016-06-19,Randy Orton
2016-06-19,Drew McIntyre
2016-09-11,The Miz
2017-01-29,Bobby Lashley
2017-02-12,Big E
2017-04-02,Brock Lesnar
2017-05-21,Bobby Lashley
2017-11-07,Brock Lesnar
2018-11-13,Roman Reigns
2019-04-07,Bruno Sammartino
2019-10-04,Hulk Hogan
